ID,Session,WindowLength,Shrinkage,Kernel,nClusters,SilhouetteCoefficient,CalinskiHarabaszScore,RiemannianVariance,DaviesBouldinIndex,GeodesicDistanceRatio,RandScoreActivities,RandScoreSessions,RandScoreIds,nActivities
all,all,15,0.0,cov,3,,5037.3037,"[np.float64(26.86013770510557), np.float64(25.038333807967966), np.float64(19.156220248815874)]",19.967653612874766,1.8115390748000408,0.00232140891622454,0.00250076916068479,,1809
all,all,15,0.0,cov,4,,3747.8037,"[np.float64(21.594150749563074), np.float64(18.621935907327657), np.float64(26.69974576191218), np.float64(25.64526060485975)]",21.23439651047152,1.8051893534181036,0.0017363405812258251,0.00270215216704618,,1809
all,all,15,0.0,cov,5,,3332.0366,"[np.float64(27.187179943608307), np.float64(21.989247369654947), np.float64(17.2644106218628), np.float64(26.17206443937232), np.float64(20.98405145484736)]",21.285583374374596,1.78382488791548,0.002648543054807453,0.0031183286781905637,,1809
all,all,15,0.0,cov,6,,3086.4253,"[np.float64(21.804406903488026), np.float64(25.167289621148395), np.float64(20.98936297226226), np.float64(22.673017060853667), np.float64(27.900080995228137), np.float64(16.635040801626985)]",19.74627259633954,1.6152104865293306,0.002788432252200435,0.004499042857293696,,1809
all,all,15,0.0,cov,7,,2724.7317,"[np.float64(22.02718930226378), np.float64(16.169673940812363), np.float64(27.87869724036615), np.float64(20.962221423592908), np.float64(22.949607671631586), np.float64(20.29652566767509), np.float64(24.567690746888715)]",19.933783060284043,1.634196382930991,0.001589803831101227,0.0041493319733124775,,1809
all,all,15,0.0,cov,8,,2404.0925,"[np.float64(16.065905797574327), np.float64(20.935426199724596), np.float64(18.67268793119645), np.float64(23.01937451390389), np.float64(28.18835937378121), np.float64(23.561624631747303), np.float64(24.07913580058958), np.float64(21.58996730518116)]",19.572982435293444,1.5588643427077724,0.0013243616615615014,0.003939779458339528,,1809
all,all,15,0.0,cov,9,,2330.8025,"[np.float64(19.284024875455884), np.float64(28.14063824106272), np.float64(22.322790743802937), np.float64(21.115847349152247), np.float64(25.42581165444781), np.float64(20.6923605581159), np.float64(15.571193456372491), np.float64(22.325580542111233), np.float64(20.36376511619375)]",20.370460807129447,1.6246388973329453,0.0008343885147788387,0.004835888775436146,,1809
all,all,15,0.0,rbf,3,,22357.947,"[np.float64(7.5914681858502275), np.float64(6.554887673451284), np.float64(3.9136161183356135)]",8.600765169720871,1.4190366068350933,0.002832643518974251,0.0015767613582047262,,1809
all,all,15,0.0,rbf,4,,17344.303,"[np.float64(6.080743251614626), np.float64(7.625207212504451), np.float64(3.6663684739317417), np.float64(5.509113001805365)]",8.176234086507593,1.323069022348824,0.0019956207219886737,0.0014405530244726147,,1809
all,all,15,0.0,rbf,5,,14189.925,"[np.float64(6.033191903848066), np.float64(7.685749608917103), np.float64(5.520233605964355), np.float64(5.025589232727356), np.float64(3.561066432726325)]",7.893879054996904,1.247405545493342,0.0022268912512796867,0.002033034929383743,,1809
all,all,15,0.0,rbf,6,,11476.38,"[np.float64(6.463792522527961), np.float64(5.346835184104227), np.float64(6.027807125584107), np.float64(6.2726844402074144), np.float64(3.1730309157181638), np.float64(5.558177124590797)]",7.595314719707971,1.201406103803635,0.0020712430978149818,0.0018816487925501725,,1809
all,all,15,0.0,rbf,7,,11831.057,"[np.float64(5.602977389973416), np.float64(3.0740363898905048), np.float64(4.947779266222286), np.float64(5.460037493607011), np.float64(4.7724884751012295), np.float64(9.450795031947647), np.float64(5.154569058972568)]",7.722745823101784,1.1489861114031277,0.0014718433063565471,0.0014927857620673887,,1809
all,all,15,0.0,rbf,8,,10443.266,"[np.float64(5.815578762130622), np.float64(9.45310190046002), np.float64(5.268356294419881), np.float64(4.773604891346577), np.float64(5.212414747601568), np.float64(4.037211434453929), np.float64(2.971974830874249), np.float64(5.259011612047704)]",7.546831940913421,1.1441199434912208,0.0015787096678228677,0.0016185303816519728,,1809
all,all,15,0.0,rbf,9,,9789.412,"[np.float64(5.467733110290561), np.float64(4.612898013933468), np.float64(8.378339336216312), np.float64(2.8852392999598893), np.float64(8.988172423871076), np.float64(4.35089195466636), np.float64(4.418750114889852), np.float64(4.933099025267639), np.float64(5.080229216373474)]",8.0700162316682,1.1107748648081204,0.0014118827477463578,0.0020452108915703076,,1809
all,all,15,0.0,lwf,3,,6045.1543,"[np.float64(16.566984586223917), np.float64(12.007985842709132), np.float64(13.46048977078109)]",15.321309696954716,1.6773640969596721,0.0022380816926857922,0.002960020438316121,,1809
all,all,15,0.0,lwf,4,,5251.048,"[np.float64(15.893224951139308), np.float64(14.88216385366711), np.float64(11.145922592324451), np.float64(12.99383897631796)]",14.139410102355912,1.5598424524806038,0.003745101684136405,0.0022196416926450685,,1809
all,all,15,0.0,lwf,5,,4773.709,"[np.float64(10.572005573814042), np.float64(14.242462613884355), np.float64(15.729471365302212), np.float64(14.268762353273507), np.float64(12.550238437817603)]",14.94203153084951,1.5811804937177536,0.0029313311759236603,0.0025127163258259703,,1809
all,all,15,0.0,lwf,6,,4126.986,"[np.float64(14.195150126582313), np.float64(10.436794498388762), np.float64(15.737671585495708), np.float64(11.654907774429338), np.float64(12.826067614656687), np.float64(14.209625896981713)]",15.390838934550535,1.555848627378064,0.0016528386296475136,0.004763884325483198,,1809
all,all,15,0.0,lwf,7,,3556.765,"[np.float64(15.493170955854291), np.float64(15.027039523461719), np.float64(14.046122692143749), np.float64(12.822289404604152), np.float64(12.198535314242394), np.float64(9.813749166452489), np.float64(12.332372266120824)]",15.096930179792457,1.5297009854711057,0.0009411920812826483,0.0036707191550649837,,1809
